Move,Fen,IsW,W0-0,W0-0-0,B0-0,B0-0-0,Move,HalfMove,EpFile,EpRank,WPCount,WNCount,WBCount,WRCount,WQCount,WKCount,BPCount,BNCount,BBCount,BRCount,BQCount,BKCount,WQPresent,WQFile,WQRank,WQLVA,WQLVD,WQRPresent,WQRFile,WQRRank,WQRLVA,WQRLVD,WKRPresent,WKRFile,WKRRank,WKRLVA,WKRLVD,WQBPresent,WQBFile,WQBRank,WQBLVA,WQBLVD,WKBPresent,WKBFile,WKBRank,WKBLVA,WKBLVD,WKPresent,WKFile,WKRank,WKLVA,WKLVD,WQNPresent,WQNFile,WQNRank,WQNLVA,WQNLVD,WKNPresent,WKNFile,WKNRank,WKNLVA,WKNLVD,WPaPresent,WPaFile,WPaRank,WPaLVA,WPaLVD,WPbPresent,WPbFile,WPbRank,WPbLVA,WPbLVD,WPcPresent,WPcFile,WPcRank,WPcLVA,WPcLVD,WPdPresent,WPdFile,WPdRank,WPdLVA,WPdLVD,WPePresent,WPeFile,WPeRank,WPeLVA,WPeLVD,WPfPresent,WPfFile,WPfRank,WPfLVA,WPfLVD,WPgPresent,WPgFile,WPgRank,WPgLVA,WPgLVD,WPhPresent,WPhFile,WPhRank,WPhLVA,WPhLVD,BQPresent,BQFile,BQRank,BQLVA,BQLVD,BQRPresent,BQRFile,BQRRank,BQRLVA,BQRLVD,BKRPresent,BKRFile,BKRRank,BKRLVA,BKRLVD,BQBPresent,BQBFile,BQBRank,BQBLVA,BQBLVD,BKBPresent,BKBFile,BKBRank,BKBLVA,BKBLVD,BKPresent,BKFile,BKRank,BKLVA,BKLVD,BQNPresent,BQNFile,BQNRank,BQNLVA,BQNLVD,BKNPresent,BKNFile,BKNRank,BKNLVA,BKNLVD,BPaPresent,BPaFile,BPaRank,BPaLVA,BPaLVD,BPbPresent,BPbFile,BPbRank,BPbLVA,BPbLVD,BPcPresent,BPcFile,BPcRank,BPcLVA,BPcLVD,BPdPresent,BPdFile,BPdRank,BPdLVA,BPdLVD,BPePresent,BPeFile,BPeRank,BPeLVA,BPeLVD,BPfPresent,BPfFile,BPfRank,BPfLVA,BPfLVD,BPgPresent,BPgFile,BPgRank,BPgLVA,BPgLVD,BPhPresent,BPhFile,BPhRank,BPhLVA,BPhLVD,WQS0,WQS1,WQS2,WQS3,WQS4,WQS5,WQS6,WQS7,WKRS0,WKRS1,WKRS2,WKRS3,WQRS0,WQRS1,WQRS2,WQRS3,WKBS0,WKBS1,WKBS2,WKBS3,WQBS0,WQBS1,WQBS2,WQBS3,BQS0,BQS1,BQS2,BQS3,BQS4,BQS5,BQS6,BQS7,BKRS0,BKRS1,BKRS2,BKRS3,BQRS0,BQRS1,BQRS2,BQRS3,BKBS0,BKBS1,BKBS2,BKBS3,BQBS0,BQBS1,BQBS2,BQBS3,WAa1,WAb1,WAc1,WAd1,WAe1,WAf1,WAg1,WAh1,WAa2,WAb2,WAc2,WAd2,WAe2,WAf2,WAg2,WAh2,WAa3,WAb3,WAc3,WAd3,WAe3,WAf3,WAg3,WAh3,WAa4,WAb4,WAc4,WAd4,WAe4,WAf4,WAg4,WAh4,WAa5,WAb5,WAc5,WAd5,WAe5,WAf5,WAg5,WAh5,WAa6,WAb6,WAc6,WAd6,WAe6,WAf6,WAg6,WAh6,WAa7,WAb7,WAc7,WAd7,WAe7,WAf7,WAg7,WAh7,WAa8,WAb8,WAc8,WAd8,WAe8,WAf8,WAg8,WAh8,BAa1,BAb1,BAc1,BAd1,BAe1,BAf1,BAg1,BAh1,BAa2,BAb2,BAc2,BAd2,BAe2,BAf2,BAg2,BAh2,BAa3,BAb3,BAc3,BAd3,BAe3,BAf3,BAg3,BAh3,BAa4,BAb4,BAc4,BAd4,BAe4,BAf4,BAg4,BAh4,BAa5,BAb5,BAc5,BAd5,BAe5,BAf5,BAg5,BAh5,BAa6,BAb6,BAc6,BAd6,BAe6,BAf6,BAg6,BAh6,BAa7,BAb7,BAc7,BAd7,BAe7,BAf7,BAg7,BAh7,BAa8,BAb8,BAc8,BAd8,BAe8,BAf8,BAg8,BAh8
Bxf1,2n4r/2k2pp1/4p2p/3pP2P/3P4/1R2PNP1/2P5/5bK1 w - - 0 32,1,0,0,0,0,32,0,8, 8,6,1,0,1,0,1,5,1,1,1,0,1,0,8, 8,0,0,0,8, 8,0,0,1,1,2,-1,0,0,8, 8,0,0,0,8, 8,0,0,1,6,0,-1,1,0,8, 8,0,0,1,5,2,-1,-1,0,8, 8,0,0,0,8, 8,0,0,1,2,1,-1,-1,1,3,3,-1,0,1,4,4,-1,0,1,4,2,-1,3,1,6,2,-1,-1,1,7,4,-1,-1,0,8, 8,0,0,0,8, 8,0,0,1,7,7,-1,3,1,5,0,5,2,0,8, 8,0,0,1,2,6,-1,-1,0,8, 8,0,0,1,2,7,-1,3,0,8, 8,0,0,0,8, 8,0,0,0,8, 8,0,0,1,3,4,-1,0,1,4,5,-1,0,1,5,6,-1,-1,1,6,6,-1,-1,1,7,5,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,4,1,0,5,2,0,-1,-1,-1,-1,-1,3,-1,-1,1,5,1,5,-1,3,-1,1,-1,5,5,1,3,0,3,0,3,-1,-1,-1,-1,3,-1,0,-1,0,-1,0,-1,3,0,-1,0,-1,1,-1,-1,3,-1,0,-1,0,0,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,2,-1,2,-1,-1,-1,-1,2,-1,-1,-1,2,-1,-1,0,-1,0,-1,-1,-1,-1,2,-1,0,-1,0,0,-1,2,1,5,1,0,0,0,0,1,5,-1,5,1,-1,-1,3,-1,5,3,3,3,3,3,3
Kxf1,2n4r/2k2pp1/4p2p/3pP2P/3P4/1R2PNP1/2P5/5K2 b - - 1 32,0,0,0,0,0,32,1,8, 8,6,1,0,1,0,1,5,1,0,1,0,1,0,8, 8,0,0,0,8, 8,0,0,1,1,2,-1,0,0,8, 8,0,0,0,8, 8,0,0,1,5,0,-1,-1,0,8, 8,0,0,1,5,2,-1,-1,0,8, 8,0,0,0,8, 8,0,0,1,2,1,-1,-1,1,3,3,-1,0,1,4,4,-1,0,1,4,2,-1,3,1,6,2,-1,-1,1,7,4,-1,-1,0,8, 8,0,0,0,8, 8,0,0,1,7,7,-1,3,0,8, 8,0,0,0,8, 8,0,0,1,2,6,-1,-1,0,8, 8,0,0,1,2,7,-1,3,0,8, 8,0,0,0,8, 8,0,0,0,8, 8,0,0,1,3,4,-1,0,1,4,5,-1,0,1,5,6,-1,-1,1,6,6,-1,-1,1,7,5,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,1,-1,1,-1,-1,3,-1,1,5,5,5,1,3,0,3,0,3,-1,-1,-1,-1,3,-1,0,-1,0,-1,0,-1,3,0,-1,0,-1,1,-1,-1,3,-1,0,-1,0,0,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,1,5,1,0,0,0,0,1,5,-1,5,1,-1,-1,3,-1,5,3,3,3,3,3,3
Nb6,7r/2k2pp1/1n2p2p/3pP2P/3P4/1R2PNP1/2P5/5K2 w - - 0 33,1,0,0,0,0,33,0,8, 8,6,1,0,1,0,1,5,1,0,1,0,1,0,8, 8,0,0,0,8, 8,0,0,1,1,2,-1,0,0,8, 8,0,0,0,8, 8,0,0,1,5,0,-1,-1,0,8, 8,0,0,1,5,2,-1,-1,0,8, 8,0,0,0,8, 8,0,0,1,2,1,-1,-1,1,3,3,-1,0,1,4,4,-1,0,1,4,2,-1,3,1,6,2,-1,-1,1,7,4,-1,-1,0,8, 8,0,0,0,8, 8,0,0,1,7,7,-1,3,0,8, 8,0,0,0,8, 8,0,0,1,2,6,-1,-1,0,8, 8,0,0,1,1,5,3,5,0,8, 8,0,0,0,8, 8,0,0,0,8, 8,0,0,1,3,4,-1,0,1,4,5,-1,0,1,5,6,-1,-1,1,6,6,-1,-1,1,7,5,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,7,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,1,-1,1,-1,-1,3,-1,1,5,5,5,1,3,0,3,0,3,-1,-1,-1,-1,3,-1,0,-1,0,-1,0,-1,3,0,-1,0,-1,1,-1,-1,3,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,5,5,5,0,0,0,0,-1,5,-1,1,-1,-1,-1,3,1,3,1,3,3,3,3,3
Nd2,7r/2k2pp1/1n2p2p/3pP2P/3P4/1R2P1P1/2PN4/5K2 b - - 1 33,0,0,0,0,0,33,1,8, 8,6,1,0,1,0,1,5,1,0,1,0,1,0,8, 8,0,0,0,8, 8,0,0,1,1,2,-1,0,0,8, 8,0,0,0,8, 8,0,0,1,5,0,-1,1,0,8, 8,0,0,1,3,1,-1,-1,0,8, 8,0,0,0,8, 8,0,0,1,2,1,-1,-1,1,3,3,-1,0,1,4,4,-1,0,1,4,2,-1,3,1,6,2,-1,-1,1,7,4,-1,-1,0,8, 8,0,0,0,8, 8,0,0,1,7,7,-1,3,0,8, 8,0,0,0,8, 8,0,0,1,2,6,-1,-1,0,8, 8,0,0,1,1,5,3,5,0,8, 8,0,0,0,8, 8,0,0,0,8, 8,0,0,1,3,4,-1,0,1,4,5,-1,0,1,5,6,-1,-1,1,6,6,-1,-1,1,7,5,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,7,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,5,1,5,-1,-1,3,-1,-1,5,5,5,-1,3,0,3,0,3,1,-1,-1,-1,3,1,0,1,0,-1,0,-1,3,0,-1,0,-1,-1,-1,-1,3,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,5,5,5,0,0,0,0,-1,5,-1,1,-1,-1,-1,3,1,3,1,3,3,3,3,3
Ra8,r7/2k2pp1/1n2p2p/3pP2P/3P4/1R2P1P1/2PN4/5K2 w - - 0 34,1,0,0,0,0,34,0,8, 8,6,1,0,1,0,1,5,1,0,1,0,1,0,8, 8,0,0,0,8, 8,0,0,1,1,2,-1,0,0,8, 8,0,0,0,8, 8,0,0,1,5,0,-1,1,0,8, 8,0,0,1,3,1,-1,-1,0,8, 8,0,0,0,8, 8,0,0,1,2,1,-1,-1,1,3,3,-1,0,1,4,4,-1,0,1,4,2,-1,3,1,6,2,-1,-1,1,7,4,-1,-1,0,8, 8,0,0,0,8, 8,0,0,1,0,7,-1,1,0,8, 8,0,0,0,8, 8,0,0,1,2,6,-1,-1,0,8, 8,0,0,1,1,5,3,5,0,8, 8,0,0,0,8, 8,0,0,0,8, 8,0,0,1,3,4,-1,0,1,4,5,-1,0,1,5,6,-1,-1,1,6,6,-1,-1,1,7,5,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,5,1,5,-1,-1,3,-1,-1,5,5,5,-1,3,0,3,0,3,1,-1,-1,-1,3,1,0,1,0,-1,0,-1,3,0,-1,0,-1,-1,-1,-1,3,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,3,-1,-1,0,-1,0,0,-1,3,5,5,5,0,0,0,0,3,5,-1,1,-1,-1,-1,-1,1,3,1,3,3,3,3,3
Ke2,r7/2k2pp1/1n2p2p/3pP2P/3P4/1R2P1P1/2PNK3/8 b - - 1 34,0,0,0,0,0,34,1,8, 8,6,1,0,1,0,1,5,1,0,1,0,1,0,8, 8,0,0,0,8, 8,0,0,1,1,2,-1,0,0,8, 8,0,0,0,8, 8,0,0,1,4,1,-1,-1,0,8, 8,0,0,1,3,1,-1,5,0,8, 8,0,0,0,8, 8,0,0,1,2,1,-1,-1,1,3,3,-1,0,1,4,4,-1,0,1,4,2,-1,3,1,6,2,-1,-1,1,7,4,-1,-1,0,8, 8,0,0,0,8, 8,0,0,1,0,7,-1,1,0,8, 8,0,0,0,8, 8,0,0,1,2,6,-1,-1,0,8, 8,0,0,1,1,5,3,5,0,8, 8,0,0,0,8, 8,0,0,0,8, 8,0,0,1,3,4,-1,0,1,4,5,-1,0,1,5,6,-1,-1,1,6,6,-1,-1,1,7,5,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,7,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,5,5,1,-1,-1,-1,3,-1,5,-1,5,-1,-1,3,0,3,0,3,1,-1,-1,-1,3,1,0,1,0,-1,0,-1,3,0,-1,0,-1,-1,-1,-1,3,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,3,-1,-1,0,-1,0,0,-1,3,5,5,5,0,0,0,0,3,5,-1,1,-1,-1,-1,-1,1,3,1,3,3,3,3,3
Ra1,8/2k2pp1/1n2p2p/3pP2P/3P4/1R2P1P1/2PNK3/r7 w - - 0 35,1,0,0,0,0,35,0,8, 8,6,1,0,1,0,1,5,1,0,1,0,1,0,8, 8,0,0,0,8, 8,0,0,1,1,2,-1,0,0,8, 8,0,0,0,8, 8,0,0,1,4,1,-1,-1,0,8, 8,0,0,1,3,1,-1,5,0,8, 8,0,0,0,8, 8,0,0,1,2,1,-1,-1,1,3,3,-1,0,1,4,4,-1,0,1,4,2,-1,3,1,6,2,-1,-1,1,7,4,-1,-1,0,8, 8,0,0,0,8, 8,0,0,1,0,0,-1,3,0,8, 8,0,0,0,8, 8,0,0,1,2,6,-1,-1,0,8, 8,0,0,1,1,5,3,5,0,8, 8,0,0,0,8, 8,0,0,0,8, 8,0,0,1,3,4,-1,0,1,4,5,-1,0,1,5,6,-1,-1,1,6,6,-1,-1,1,7,5,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,5,5,1,-1,-1,-1,3,-1,5,-1,5,-1,-1,3,0,3,0,3,1,-1,-1,-1,3,1,0,1,0,-1,0,-1,3,0,-1,0,-1,-1,-1,-1,3,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,3,3,3,3,3,3,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,3,-1,-1,0,-1,0,0,-1,3,5,5,5,0,0,0,0,3,5,-1,1,-1,-1,-1,-1,1,5,1,5,-1,-1,-1,-1
Rb1,8/2k2pp1/1n2p2p/3pP2P/3P4/4P1P1/2PNK3/rR6 b - - 1 35,0,0,0,0,0,35,1,8, 8,6,1,0,1,0,1,5,1,0,1,0,1,0,8, 8,0,0,0,8, 8,0,0,1,1,0,3,1,0,8, 8,0,0,0,8, 8,0,0,1,4,1,-1,-1,0,8, 8,0,0,1,3,1,-1,5,0,8, 8,0,0,0,8, 8,0,0,1,2,1,-1,-1,1,3,3,-1,0,1,4,4,-1,0,1,4,2,-1,5,1,6,2,-1,-1,1,7,4,-1,-1,0,8, 8,0,0,0,8, 8,0,0,1,0,0,3,3,0,8, 8,0,0,0,8, 8,0,0,1,2,6,-1,-1,0,8, 8,0,0,1,1,5,3,5,0,8, 8,0,0,0,8, 8,0,0,0,8, 8,0,0,1,3,4,-1,0,1,4,5,-1,0,1,5,6,-1,-1,1,6,6,-1,-1,1,7,5,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,6,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,3,1,3,3,3,1,3,3,-1,3,-1,5,-1,5,-1,-1,-1,0,-1,0,5,1,-1,-1,-1,3,1,0,1,0,-1,0,-1,3,0,-1,0,-1,-1,-1,-1,3,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,3,-1,-1,0,-1,0,0,-1,3,5,5,5,0,0,0,0,3,5,-1,1,-1,-1,-1,-1,1,5,1,5,-1,-1,-1,-1
Ra2,8/2k2pp1/1n2p2p/3pP2P/3P4/4P1P1/r1PNK3/1R6 w - - 0 36,1,0,0,0,0,36,0,8, 8,6,1,0,1,0,1,5,1,0,1,0,1,0,8, 8,0,0,0,8, 8,0,0,1,1,0,-1,1,0,8, 8,0,0,0,8, 8,0,0,1,4,1,-1,-1,0,8, 8,0,0,1,3,1,-1,5,0,8, 8,0,0,0,8, 8,0,0,1,2,1,3,-1,1,3,3,-1,0,1,4,4,-1,0,1,4,2,-1,5,1,6,2,-1,-1,1,7,4,-1,-1,0,8, 8,0,0,0,8, 8,0,0,1,0,1,-1,3,0,8, 8,0,0,0,8, 8,0,0,1,2,6,-1,-1,0,8, 8,0,0,1,1,5,3,5,0,8, 8,0,0,0,8, 8,0,0,0,8, 8,0,0,1,3,4,-1,0,1,4,5,-1,0,1,5,6,-1,-1,1,6,6,-1,-1,1,7,5,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,6,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,3,3,3,1,3,3,-1,3,-1,5,-1,5,-1,-1,-1,0,-1,0,5,1,-1,-1,-1,3,1,0,1,0,-1,0,-1,3,0,-1,0,-1,-1,-1,-1,3,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,3,-1,-1,0,-1,0,0,-1,3,5,5,5,0,0,0,0,3,5,-1,1,-1,-1,-1,-1,1,5,1,5,-1,-1,-1,-1
Kd3,8/2k2pp1/1n2p2p/3pP2P/3P4/3KP1P1/r1PN4/1R6 b - - 1 36,0,0,0,0,0,36,1,8, 8,6,1,0,1,0,1,5,1,0,1,0,1,0,8, 8,0,0,0,8, 8,0,0,1,1,0,-1,1,0,8, 8,0,0,0,8, 8,0,0,1,3,2,-1,0,0,8, 8,0,0,1,3,1,-1,5,0,8, 8,0,0,0,8, 8,0,0,1,2,1,3,5,1,3,3,-1,0,1,4,4,-1,0,1,4,2,-1,5,1,6,2,-1,-1,1,7,4,-1,-1,0,8, 8,0,0,0,8, 8,0,0,1,0,1,-1,3,0,8, 8,0,0,0,8, 8,0,0,1,2,6,-1,-1,0,8, 8,0,0,1,1,5,3,5,0,8, 8,0,0,0,8, 8,0,0,0,8, 8,0,0,1,3,4,-1,0,1,4,5,-1,0,1,5,6,-1,-1,1,6,6,-1,-1,1,7,5,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,6,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,3,1,3,3,3,1,3,3,-1,3,5,5,5,-1,-1,-1,-1,0,5,0,5,1,-1,-1,-1,3,1,0,1,0,-1,0,-1,3,0,-1,0,-1,-1,-1,-1,3,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,3,3,3,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,3,-1,-1,0,-1,0,0,-1,3,5,5,5,0,0,0,0,3,5,-1,1,-1,-1,-1,-1,1,5,1,5,-1,-1,-1,-1
Ra3,8/2k2pp1/1n2p2p/3pP2P/3P4/r2KP1P1/2PN4/1R6 w - - 0 37,1,0,0,0,0,37,0,8, 8,6,1,0,1,0,1,5,1,0,1,0,1,0,8, 8,0,0,0,8, 8,0,0,1,1,0,-1,-1,0,8, 8,0,0,0,8, 8,0,0,1,3,2,-1,0,0,8, 8,0,0,1,3,1,-1,-1,0,8, 8,0,0,0,8, 8,0,0,1,2,1,-1,-1,1,3,3,-1,-1,1,4,4,-1,-1,1,4,2,-1,-1,1,6,2,-1,-1,1,7,4,-1,-1,0,8, 8,0,0,0,8, 8,0,0,1,0,2,-1,-1,0,8, 8,0,0,0,8, 8,0,0,1,2,6,-1,-1,0,8, 8,0,0,1,1,5,-1,-1,0,8, 8,0,0,0,8, 8,0,0,0,8, 8,0,0,1,3,4,-1,-1,1,4,5,-1,-1,1,5,6,-1,-1,1,6,6,-1,-1,1,7,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,6,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Rb3,8/2k2pp1/1n2p2p/3pP2P/3P4/rR1KP1P1/2PN4/8 b - - 1 37,0,0,0,0,0,37,1,8, 8,6,1,0,1,0,1,5,1,0,1,0,1,0,8, 8,0,0,0,8, 8,0,0,1,1,2,3,0,0,8, 8,0,0,0,8, 8,0,0,1,3,2,-1,0,0,8, 8,0,0,1,3,1,-1,5,0,8, 8,0,0,0,8, 8,0,0,1,2,1,-1,5,1,3,3,-1,0,1,4,4,-1,0,1,4,2,-1,5,1,6,2,-1,-1,1,7,4,-1,-1,0,8, 8,0,0,0,8, 8,0,0,1,0,2,3,3,0,8, 8,0,0,0,8, 8,0,0,1,2,6,-1,-1,0,8, 8,0,0,1,1,5,-1,5,0,8, 8,0,0,0,8, 8,0,0,0,8, 8,0,0,1,3,4,-1,0,1,4,5,-1,0,1,5,6,-1,-1,1,6,6,-1,-1,1,7,5,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,0,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,5,5,5,-1,-1,-1,3,0,3,0,5,1,-1,-1,-1,-1,1,0,1,0,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,3,3,-1,-1,-1,-1,-1,-1,1,-1,0,-1,0,-1,-1,-1,3,-1,-1,0,-1,0,0,-1,3,5,5,5,0,0,0,0,3,5,-1,1,-1,-1,-1,-1,1,5,1,5,-1,-1,-1,-1
